,geography,count_race_total_population,percent_race_total_population_one_race_white,percent_hispanic_or_latino_by_race_total_population_hispanic_or_latino,percent_race_total_population_one_race_black_or_african_american,percent_race_total_population_one_race_asian,percent_race_total_population_one_race_native_hawaiian_and_other_pacific_islander,percent_race_total_population_one_race_american_indian_and_alaska_native,percent_race_total_population_one_race_some_other_race,percent_race_total_population_two_or_more_races,percent_total_races_tallied_1_total_races_tallied_black_or_african_american_alone_or_in_combination_with_one_or_more_other_races,percent_total_races_tallied_1_total_races_tallied_white_alone_or_in_combination_with_one_or_more_other_races,percent_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_tenure_occupied_housing_units_renter_occupied_housing_units,facility_binary,facility_counts,estimate_households_total,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,estimate_percent_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_female_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings,estimate_male_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings
159,06073008202,1524,83.9,7.1,0.4,7.3,0.6,1.2,2.8,3.8,0.7,87.5,41.6,49.7,FALSE,0,659,105094,164067,62.3,94,35.2,2,61.7,29.5,94.5,0.3,63.3,44.9,93,4.9,21894,79485
160,06073008301,3371,80.6,9.4,0.5,5.9,0.1,0.1,1.8,11,1.5,91.2,7.1,17.8,FALSE,0,1300,230962,263087,66.5,98.7,28.8,0.7,60.8,21.3,97.7,1.2,73,37.4,100,0,68986,119375
161,06073008303,3531,76,10.9,0.7,9,0.1,0.1,2.6,11.4,2.1,86.9,14.9,17.3,FALSE,0,1307,227275,274334,77.6,100,46.5,0,69.1,33.1,100,0,88.8,64.2,100,0,123804,-
162,06073008305,14126,55.8,17.8,5.2,27.6,0.1,0.2,5.5,5.5,6,60.6,2.7,93.3,FALSE,0,465,41776,55313,85.6,98.3,45.2,0.9,87.1,46.1,97.7,2.3,84.7,44.8,98.6,0,37813,39492
163,06073008306,3163,73.9,10.5,0.5,9.8,0.2,0.4,2.5,12.6,1.2,86,3,13.6,FALSE,0,1069,232614,238880,75.1,98,47.3,0,72.3,50.7,100,0,78,43.8,95.9,0,90000,128170
164,06073008307,3887,69.8,10.5,1.3,13,0.2,0.4,2.8,12.5,2.6,81.9,2.7,24.4,FALSE,0,1689,122083,163535,71.3,97.7,35.1,1.9,65,32.2,97.8,2,78,38.1,97.5,1.8,62964,81105
165,06073008310,5731,72.5,12.8,0.5,10.6,0.1,0.1,2.7,13.5,1.6,85.8,10.6,13.9,FALSE,0,2395,153897,244773,76.2,99.8,42.9,0.2,73.7,43.3,100,0,78.9,42.5,99.6,0.4,70244,140672
166,06073008311,2849,79.4,9.9,0.4,5.9,0.1,0.1,1.6,12.5,1.3,91.5,9.6,10.2,FALSE,0,1064,"250,000+",390101,80.6,99.5,41.5,0.4,73,29.9,99.1,0.9,87.7,52.2,99.8,0,68866,239907
167,06073008312,3787,75.7,10.9,0.8,9.2,0.1,0.3,3.3,10.6,2.2,85.8,20.5,35.2,FALSE,0,1692,140463,207795,72,98.4,46.2,1.1,64.7,42.6,97.1,1.9,81.2,50.8,100,0,47115,122031
168,06073008313,2245,69.7,10.2,1,14.8,0,0.4,2.3,11.8,2.6,81.2,7.6,16,FALSE,0,808,242083,282925,81,97.7,53.8,2,84.8,55.8,99.5,0,77.3,51.9,96.1,3.9,51875,133194
169,06073008324,6745,77.7,7.3,0.7,9.6,0,0.3,1.8,9.9,1.7,87.3,7.1,27.2,FALSE,0,2994,194130,250859,83.6,98,46.6,0,77.4,36.4,97.6,0,88.9,55.3,98.4,0,85380,143482
170,06073008327,6247,63.7,8.2,0.9,23,0.1,0.2,2.6,9.6,2,72.7,4.8,39.4,FALSE,0,2416,174659,198694,76.9,96.5,41.3,1.2,69.7,32.1,95.9,0,86,52.9,97.2,2.8,92308,122656
171,06073008328,8213,46.1,6.6,0.7,42.9,0.1,0.1,1.5,8.6,1.4,54.4,6.8,14,FALSE,0,2543,"250,000+",410874,90.4,98.2,65.6,1,87,60.4,97.2,1.3,94.2,71.5,99.4,0.6,84690,226371
172,06073008330,5524,55.8,7.5,0.3,31.5,0.1,0,2.4,9.9,1.4,65.5,3.5,38.9,FALSE,0,1840,176190,215831,84.3,99,39.2,1,79.4,35.3,98.1,1.9,90,43.7,100,0,64236,177734
173,06073008331,2568,63.2,9,0.8,20.4,0.1,0,2.1,13.4,2.4,76.1,1.7,17.1,FALSE,0,943,217083,251983,88.2,99.2,46.1,0.8,84.4,41.7,98.5,1.5,92.2,50.8,100,0,104750,145662
174,06073008336,2191,56.7,10.3,1.2,28.2,0,0.2,1.6,12,1.8,68.2,1.1,10.9,FALSE,0,742,197841,217177,70,98,37.5,0.6,62.6,36,97.6,1.2,77.4,39,98.4,0,72238,132212
175,06073008337,4358,48.6,10,1.3,34.2,0.3,0.2,2,13.4,2,61.1,0.9,13.3,FALSE,0,1510,180496,234987,65.1,95.7,28.7,2.9,61.1,28.4,95.4,4,69.1,29.1,96,1.8,74557,82839
176,06073008339,1886,44.1,14.9,1.9,35.4,0.3,0.6,5,12.8,3.1,56.2,6.1,81,TRUE,1,777,80417,110146,67.1,98.2,46,0,80.3,56.4,98.4,0,58.4,39.1,98.1,0,66724,68646
177,06073008343,4322,43.9,15.6,2.3,34.8,0.3,0.8,6.2,11.8,3.6,54.9,11.2,80.3,FALSE,0,1765,82325,113724,77.7,98.7,32.3,1.3,78.8,33.1,97.5,2.5,76.6,31.5,100,0,79727,82241
178,06073008344,3609,67.6,11.9,1.7,15.3,0.2,0.3,2.2,12.6,3,79.7,2.6,26.3,FALSE,0,1181,176680,229171,69.1,97.2,39.6,0.2,75.3,38.2,98.8,0.5,63.4,40.8,95.7,0,86250,106771
179,06073008345,3609,71.5,11.2,1.9,12,0.1,0.4,3.2,11,3.2,82.1,7.2,55.7,FALSE,0,1950,88095,124066,71,98.2,34.3,1.5,65.5,33.4,98.7,1.3,77.4,35.3,97.7,1.8,35625,83694
180,06073008346,4831,39.6,8.9,1.6,43.6,0,0.2,2.7,12.3,3.2,50.9,2.5,22.7,TRUE,2,1561,177386,213088,71.3,96.9,37,1.7,69.2,35.3,94.8,2.9,73.2,38.6,98.8,0.5,81818,122532
181,06073008347,6598,29.7,12.6,2,50.7,0.5,0.4,5.5,11.1,3.5,39.6,1.1,26.9,FALSE,0,2020,145714,165320,49.9,90.4,21.1,7.3,53.5,20.5,86.2,9.5,46.3,21.7,94.5,5.1,46618,77287
182,06073008348,5178,25.7,10.7,2.8,56.5,0.7,0.4,3.8,10.2,4.1,34.4,1.5,34.6,FALSE,0,1677,150847,170439,51.1,94.4,20.4,3.3,49.3,14.2,92.6,4.1,52.9,26.3,96.1,2.5,61793,61381
183,06073008349,3526,28.9,13.5,3.9,48.7,0.6,0.2,5.2,12.5,5.4,40.2,2.7,34.8,FALSE,0,1108,129038,159276,39.6,89.5,19.3,6.4,42.8,16.9,89.3,7.2,36.5,21.7,89.7,5.7,60292,70424
184,06073008350,6228,24.7,10.5,2.2,57.7,0.4,0.4,4.2,10.3,3.3,33.7,2.9,53.5,TRUE,13,2100,121335,138467,53.9,90.1,22.4,9,59.3,29.2,90.8,8.8,49.5,16.9,89.5,9.3,62727,80318
185,06073008351,4393,24.5,14.7,2.9,53.4,0.4,1.3,7,10.4,4.2,34,1.9,45.4,FALSE,0,1397,149196,161832,47.9,90.9,17.8,3.8,41.2,13.2,87.3,7.5,53.9,22.1,94.2,0.5,56480,72294
186,06073008352,3544,25.7,15.7,3,50.2,0.7,0.4,8.1,11.9,4.5,36.4,1.7,47.8,FALSE,0,1001,133869,146402,47,87.6,15,3.1,44.6,17.4,88.5,3.8,48.9,13,86.8,2.5,42665,66250
187,06073008353,4941,33.3,12.8,3.4,44.3,0.6,0.4,4.8,13.3,5.7,44.8,0.9,23.6,FALSE,0,1558,151857,174902,54.4,93.2,29.4,4.4,51.6,24.8,92.5,5.7,57.5,34.5,94.1,2.9,62639,89457
188,06073008355,3366,21.3,12.8,4.2,57,0.3,0.8,5.7,10.5,5.5,30.3,1.6,31.1,FALSE,0,924,154000,176185,50.5,89,19.4,8.6,54.9,20.2,90.4,8.2,46.1,18.5,87.6,8.9,65179,88171
189,06073008356,3697,26.2,11.8,2.6,55.1,0.3,0.6,5.4,9.8,4.4,34.6,1.7,42.6,FALSE,0,1420,121548,143696,51.7,88.8,21,7.7,58.6,21.3,92.6,3.9,43.8,20.7,84.5,12,39949,89306
190,06073008357,4500,18.6,12,2.7,63,0.6,0.3,5,9.9,3.9,27.4,1.5,44.9,FALSE,0,1496,114583,152768,50.9,89.5,14.4,8.5,48.2,13.6,89.9,8.6,53.3,15.1,89.2,8.4,51481,65754
191,06073008358,6856,24.8,16.5,3.5,51.5,0.7,0.8,7.6,11,5.2,34.4,1.6,39,FALSE,0,2063,115942,128114,35.2,84.4,13.6,11.1,35.8,12.3,83.4,10,34.6,14.9,85.4,12.1,52161,62036
192,06073008359,4121,23.2,25.1,5.8,42.6,0.3,1.4,14.6,12,7.5,34.2,3.8,83.9,FALSE,0,1817,86685,105413,42.7,80.3,14.9,15.9,46.3,16.3,85.2,11.7,39.6,13.6,76.1,19.5,43577,56778
193,06073008360,6159,23.8,18.4,5.5,48.9,0.6,0.7,8.8,11.7,7.8,33.7,1.8,49.3,TRUE,6,2392,99122,130147,37.6,84.2,15.4,6.2,35.3,11.5,83.6,3.9,39.7,19.1,84.8,8.3,52981,59438
194,06073008361,2616,53.7,11.5,1.3,30.5,0.1,0.4,3.9,10,2,63.5,13,67.9,FALSE,0,1467,97772,107539,76.6,98.8,30.2,1.2,79.6,32.3,98.6,1.4,74.4,28.7,99,1,59950,85673
195,06073008362,3334,61.7,12.1,1.1,20.7,0.2,0.1,3.5,12.7,2.8,74.1,8.9,51,FALSE,0,1562,114071,135471,85.3,96.2,41.4,2.4,88,48.3,100,0,83.1,35.7,93.1,4.4,71274,85781
196,06073008363,5025,31.5,13.6,1.9,51.5,0.2,0.6,5.9,8.5,2.7,39.3,10.6,92.9,FALSE,0,1900,70206,84729,71.8,94.8,35.6,3.9,64.4,36.8,96.5,0,76.4,34.8,93.7,6.3,39028,69868
197,06073008364,5132,46.2,13.6,1.4,34.9,0.2,0.2,4.6,12.5,2.7,58,8.3,72.3,FALSE,0,2293,97066,113090,86.8,98.3,48.6,0.6,85.8,47.6,97.7,0,87.7,49.5,98.9,1.1,66627,88622
198,06073008365,2881,44.9,7.6,1.1,42.1,0.3,0.1,1.7,9.8,1.8,54.1,1.2,13.4,FALSE,0,949,207865,248627,65.5,96.5,31.1,3.2,58.3,27.9,96,4,73.8,34.7,97,2.3,95000,163359
199,06073008366,7113,41.6,8.5,1.2,44.1,0.4,0.3,1.8,10.7,2.1,51.6,0.9,15.8,FALSE,0,2392,225692,252156,81.7,95.7,46.5,3.1,79.4,42.6,94,4.2,83.9,50.1,97.2,2,82174,131667
200,06073008367,3491,43.4,13.6,2.2,36.7,0.1,0.6,4.2,12.7,4.1,55.3,0.9,47.1,FALSE,0,1191,120742,151995,57.5,89.6,30.4,4.1,52.2,26.1,92.3,3.3,63.2,35,86.6,4.9,93295,-
201,06073008368,6580,41.7,6.4,1.3,45.1,0.2,0.3,1.8,9.7,2.2,50.4,0.9,13.4,FALSE,0,1937,211830,251513,69.5,95.9,37.9,1,66.8,33.5,93.1,2,72.3,42.5,98.7,0,95721,123299
202,06073008369,3151,53.1,13.8,2,28.1,0,0.3,6.7,9.8,3.8,62.1,28.4,66,FALSE,0,1969,168393,179281,77.9,98.2,49.9,0.5,69.7,36.4,97.4,0,87.2,65.1,99,1,100506,136645
203,06073008370,4080,58.8,8.2,0.9,27.3,0,0.3,2.2,10.4,1.8,68.8,4.9,47.9,FALSE,0,1626,156184,188876,80.8,100,37.7,0,82,38.4,100,0,79.6,37.2,100,0,90556,100255
204,06073008371,4434,54.4,10.4,2.1,29.4,0.2,0.2,2.6,11.1,3.6,65,3.7,77.3,FALSE,0,1542,159405,210440,83.5,100,43.3,0,76.7,45.5,100,0,90,41.2,100,0,71875,106510
205,06073008372,4260,53.9,9.7,0.5,31.6,0,0.1,2,11.8,1.7,65.3,2.1,35.1,FALSE,0,1351,225481,289220,85.6,100,44.1,0,78.9,35.1,100,0,92.9,54.2,100,0,77464,233718
206,06073008373,3317,53.9,8.3,1.2,31.5,0.1,0,2.2,11,2.8,64.3,3.4,44.3,FALSE,0,1299,219271,235414,74.4,100,38,0,71.9,36.9,100,0,76.9,39,100,0,64779,132476
207,06073008374,4298,43.9,7.7,0.4,42.4,0.2,0.4,1.2,11.5,1.2,55.2,1.4,13.5,FALSE,0,1185,"250,000+",380410,84.3,97.9,57.4,1,85.3,54,96.7,1,83.4,60.6,99,1,106855,183486
208,06073008375,4318,43.8,12,1.9,39.2,0.2,0.4,4.2,10.4,2.8,53.8,9.1,83.9,TRUE,1,2179,121607,130382,78,90.9,41.2,8.2,83.8,46.1,89.8,8.5,72.2,36.2,92,8,74049,85595
209,06073008376,5686,44.6,12.9,1.8,37.5,0.1,0.1,4.7,11.2,2.7,55.1,10.6,81,TRUE,1,2833,120563,141836,70.6,94.8,34.4,5.2,71.1,35.5,93.2,6.8,70.1,33.2,96.6,3.4,85565,66521
210,06073008377,2608,45,10.6,1.3,40.8,0.3,0.2,3.8,8.6,2.4,53.1,7.6,72.5,FALSE,0,970,79444,91464,76.8,99,39.3,1,73.5,39.5,100,0,81.3,39.1,97.6,2.4,63571,79813
211,06073008378,1024,36.9,9,1.8,49.9,0,0.4,2,9.1,2.3,45.3,11.8,83.5,FALSE,0,376,73750,87443,78.3,100,47.6,0,83.2,60.5,100,0,71.3,29.3,100,0,51864,106375
212,06073008379,4287,37.8,7.8,2.2,49.3,0.1,0.3,3.5,6.7,2.6,44.1,12.6,95.4,FALSE,0,1877,65625,95358,71.1,94.6,41.2,2.2,75.2,42.9,92.1,2,66.1,39.2,97.7,2.3,54800,97553
213,06073008380,7165,31.1,14.8,6.6,43.8,0.5,0.3,5.3,12.5,8.9,42,3.1,78.3,FALSE,0,2743,92583,121363,55.4,95.5,28.8,2.9,44.4,18,95.2,3.1,67.4,40.7,95.8,2.6,46497,93806
214,06073008381,2722,29.4,12.8,3.7,49.2,0.3,0,5.2,12.1,5.4,40.2,2.3,54.1,FALSE,0,1056,202833,220404,72.7,94.7,39,1.7,60.9,22.6,90,3.1,78.9,47.7,97.2,1,58726,108253
215,06073008501,5271,71.1,20.2,1.3,5.2,0.2,0.7,7.9,13.5,2.5,83.8,3.8,32.2,FALSE,0,2132,131944,151017,58.8,91.8,21.2,0.4,54,21.1,91,0.7,64.6,21.4,92.7,0,70167,79922
216,06073008502,6218,60.1,27.1,1.6,10,0.1,1.1,12.4,14.6,3.3,74.3,2.7,39.5,FALSE,0,2507,100387,130450,51.4,95.5,21.5,2.5,52.6,25.3,97.4,2,50.2,17.4,93.5,3.1,60373,61366
217,06073008503,6869,67.1,22.1,1.2,7.5,0.3,0.8,9.9,13.2,2.6,79.7,3.6,39.7,FALSE,0,3155,118141,152041,59.5,91.4,22.7,4.9,54.4,18.9,90.5,4.7,64.8,26.6,92.3,5.2,73409,80078
218,06073008504,6150,63.8,24,1.1,7.9,0.4,0.9,10.7,15.3,2.4,78.6,3.3,35.5,FALSE,0,2276,131429,127269,52.4,93.2,17.7,3.2,54.2,22,95.5,1.2,50.6,13.5,90.9,5.2,43860,81695
219,06073008505,5657,53,25.8,2.2,15.1,0.7,0.8,11.6,16.5,3.3,68.6,4.3,37.1,FALSE,0,2013,87178,139467,35.9,85.4,11.4,5.3,32.6,12.3,82.7,5,39,10.5,87.9,5.6,41908,60551
220,06073008506,3981,54.5,25.3,1.9,16.3,0.4,0.8,10.7,15.5,3.9,69.2,3.3,41.7,FALSE,0,1569,118633,153564,47,93.9,17.5,5,47.5,20,93.6,5.9,46.7,15.2,94.1,4.2,61452,74006
221,06073008507,7520,50.5,26.6,4,17.1,0.6,0.5,11.3,16,6.1,65.3,2.9,53,FALSE,0,2652,87269,114253,41.4,84.8,19.3,8.1,35.6,17.2,83,9.6,47.6,21.7,86.7,6.5,33503,73789
222,06073008509,6949,53.4,18.9,8.2,16.4,0.3,0.6,8,13.1,10.4,65.2,2.5,44.6,FALSE,0,2664,115600,122033,45.6,90.4,24,4.6,40.7,22.8,84.3,8.5,50.7,25.3,96.6,0.6,62500,71821
223,06073008510,6912,46.9,24.6,5,21,0.7,1,11.2,14.2,7.2,59.6,2.6,52.4,FALSE,0,2551,79226,93524,47.6,94.2,22.3,1.9,49.3,29.1,93.2,1.6,45.7,14.9,95.2,2.3,47063,55428
224,06073008511,5480,41.3,21.2,5.4,29.1,0.3,1.1,9,13.8,7.5,53.5,6,71.6,TRUE,10,2620,132786,131156,56.7,93,20.2,1.7,59.1,25.6,94.4,2,54.6,15.5,91.8,1.5,59934,64145
225,06073008512,4386,71,16,2,7.5,0.5,0.5,4.2,14.2,4.2,84.6,1.9,20.5,FALSE,0,1547,118224,148892,54.1,95.5,21.4,0.9,53.3,19.7,95.4,0.7,54.8,23.2,95.7,1.1,61307,91542
226,06073008513,2798,70.6,14.8,1.5,8.9,0.2,0.7,4.1,14.1,2.9,84.1,2.1,22.1,FALSE,0,1154,132500,148939,57.8,95.6,24.4,1.7,54.5,21.1,93.5,3.5,60.8,27.4,97.6,0,51125,81806
227,06073008600,6535,25.4,49.7,5,22.4,0.5,1.7,30.4,14.6,6.9,38.9,3.6,61.2,FALSE,0,2290,63924,83663,27.8,75,15.5,13.8,30.5,21.1,73.4,16.2,24.6,9,76.9,11.1,32917,46833
228,06073008701,3353,49.4,21.1,7.5,17.6,1,1.1,9,14.4,11,62.2,3.9,80,FALSE,0,1223,78516,95629,51.5,95.6,18.9,1.5,56.8,23.1,93.9,2.2,45.6,14.1,97.5,0.8,41657,66250
229,06073008702,4750,46.8,28.7,9.5,14.9,0.5,1.3,11.5,15.5,12.1,60.7,6.3,61.5,FALSE,0,1716,111025,120246,36.9,88.5,14.3,5,37.9,13.5,92.9,3.9,36.1,15,84.7,6,57656,59008
230,06073008800,6128,23,30.7,6.1,41,0.3,0.9,17.4,11.2,7.5,33,2.3,67.5,FALSE,0,2019,76775,98118,30.7,72.7,8.6,18.3,34.7,10.7,72.6,18.8,26.7,6.4,72.9,17.7,46968,46016
231,06073008901,5036,52.2,28.4,4.7,14.5,0.3,1,12.3,15,6.3,65.6,5.8,55,FALSE,0,2514,95441,99379,45.6,95.2,18.6,1.2,50.2,22,92.7,1.7,41.6,15.8,97.2,0.8,42220,58110
232,06073008902,2601,61.4,21.3,5,9.9,0.3,0.4,8.8,14.2,7,74.2,9.2,53.9,FALSE,0,1999,104558,115899,61.3,97.1,37.7,0.3,63.2,33.3,94.9,0,59.7,41.8,99,0.5,61534,76164
233,06073009000,3746,36.6,44.6,5.3,14.7,0.4,2,26.4,14.6,7,50.1,4,60.8,FALSE,0,1381,112292,133339,55.3,86,30.6,5.5,58.2,30.2,89.3,5.7,52.6,30.9,82.8,5.3,42933,55417
234,06073009101,5652,71.2,16.9,1.6,6.1,0.3,0.6,5.6,14.6,2.9,85.3,4.6,35.3,FALSE,0,2290,108873,155414,59.8,95,21.3,1.2,52.3,22,94.5,1.2,67.6,20.6,95.5,1.2,50938,83905
235,06073009102,3529,57.3,26.1,4.3,10.2,0.5,0.9,9.7,17.1,6.7,73.4,3.3,81.3,FALSE,0,1968,75087,84235,48.6,96.5,11.6,2.3,37,13,95.1,2.5,60.3,10.3,97.9,2.1,46343,65295
236,06073009103,3850,75.6,14.5,1.4,5.5,0.1,0.3,3.6,13.6,3.1,88.5,4.9,36.1,FALSE,0,1605,153807,186137,66.1,98.1,26.4,0,66.8,29.1,97.8,0,65.5,23.7,98.4,0.1,66250,93958
237,06073009104,2886,79.5,13.9,1.1,4,0.2,0.4,3.8,11.1,2,90.1,3,23.6,FALSE,0,1092,147586,179381,64.2,96.2,28.7,2.2,69,31.8,94.2,4.2,58.9,25.3,98.4,0,76719,107202
238,06073009107,5739,57.6,21.1,5.1,14.7,0.5,0.5,8.3,13.3,7,70.2,12.7,71.3,FALSE,0,2279,75733,103561,59.2,96.7,19.5,1,56.7,18.5,98.7,0,61.7,20.5,94.7,1.9,58423,73056
239,06073009108,1943,68.6,20.8,1.5,5.7,0,1.3,7.9,14.9,2.5,83,6.5,39.4,FALSE,0,898,88654,123434,47.1,93.1,21.4,3,50.1,24.1,91.8,6.1,44.1,18.8,94.5,0,59886,80919
240,06073009109,4033,57.9,18.8,5,27.6,0,0.1,6,3.3,5.7,60.9,3.4,81.2,FALSE,0,18,177500,168150,60,100,34.1,0,61.3,48.8,100,0,58.9,21.1,100,0,65625,35341
241,06073009201,6165,42.8,23.2,15.5,13.7,1.2,1.2,7.9,17.8,20.5,58.7,4.7,77.1,FALSE,0,2158,82727,112889,37.4,95.1,15.4,2.7,44.1,23.1,92.4,4.4,31.8,9,97.3,1.3,52301,67258
242,06073009203,4141,56.4,17.3,5,17.1,0.5,0.5,5,15.6,7.1,70.5,9.6,66.4,TRUE,1,2304,128707,139319,75.2,98.8,35.3,0.6,72.7,39.1,97.6,1.2,77.7,31.6,100,0,79076,103395
243,06073009204,3362,57.1,18.8,4.7,16,0.9,0.5,5.4,15.4,8.1,71.2,2.9,31.1,FALSE,0,1344,163877,167495,53.9,87.9,20.7,9.1,40.8,10.4,78.6,17.5,68.1,31.7,97.9,0,45918,73088
244,06073009301,4337,47.5,24.5,6.9,16.9,0.8,1.3,9.5,17,10.3,62.8,3.1,45.7,FALSE,0,1876,106974,114625,42,92.1,17.1,6.3,36.6,12,89.9,8.3,47.4,22,94.3,4.4,46575,69077
245,06073009305,4948,57.5,19.1,6.2,13.7,0.7,0.5,6.6,14.8,8.4,71.3,4.2,61.5,FALSE,0,2148,128674,164474,51.5,95.3,21.3,0.8,63.7,29.9,95.9,1,40.8,13.7,94.6,0.7,100587,49707
246,06073009306,6125,51.8,21.6,6.3,16.8,0.6,1.3,7.8,15.5,8.9,66,3.2,51.7,FALSE,0,2203,136375,139972,59,99.1,20,0,66.2,23.6,99.7,0,52.9,16.9,98.6,0,72828,70221
247,06073009307,4863,52.6,22,8.8,14.9,0.6,0.9,8.2,14.1,11.5,65.4,6.7,80.5,FALSE,0,2657,114604,141838,62.6,98.5,14.2,1,61.8,16.8,97.9,0.9,63.4,11.8,99,1,61081,84362
248,06073009308,4319,52,22.9,9.1,13.9,0.5,0.7,8.9,15,11.3,65.6,6.3,79.7,FALSE,0,2184,87995,111790,46.4,97.7,14.7,0.8,52.6,24.3,94.6,1.9,41.7,7.2,100,0,82842,71097
249,06073009400,8035,71.4,29.3,10,8.6,1.3,0.9,3.2,4.7,11.8,75.5,5.2,99.1,TRUE,7,522,86774,91248,35.2,99.3,13.5,0,57.5,22.2,100,0,24,9.1,99,0,34013,37212
250,06073009502,3801,59.9,17.3,5.1,13.2,0.6,0.7,4.3,16.3,8.3,75.1,4.1,38.8,FALSE,0,1587,137218,143752,63.2,98.3,26.4,0.8,63.5,28.7,96.5,1.5,62.9,24.1,100,0,75781,88839
251,06073009504,7198,61.1,9.6,2.3,22,0.1,0.2,2.7,11.6,3.4,72,9.5,19.6,FALSE,0,2284,"250,000+",280306,74,99.1,40.4,0.4,71.7,35.5,100,0,76.3,45.3,98.3,0.9,90446,156473
252,06073009505,6559,62.4,13.2,2.8,16.6,0.4,0.7,3.8,13.3,4.1,75,2,31.9,FALSE,0,2802,111890,158592,61,97.3,22.9,0.6,63.7,23.9,99,0.8,57.7,21.7,95.3,0.4,74724,104338
253,06073009506,4385,62.5,15.9,4.3,11.5,0.4,0.7,5.6,15,7.3,76.5,2.3,26.8,FALSE,0,1632,154250,158040,64,98.4,32.2,0.9,58.5,31.1,98.3,1.5,70.5,33.5,98.6,0.1,74345,83875
254,06073009507,3550,59.8,17.3,5.5,11.9,0.4,0.5,6.8,15,8.2,73.7,2.8,42.8,FALSE,0,1520,113875,137524,61.9,95.9,26.5,2.7,69.8,28.3,98.7,1.3,53.6,24.5,93.1,4.1,69375,78171
255,06073009509,5314,57,20,9.3,11,0.6,0.8,7.1,14.1,11.6,69.9,4.2,78,FALSE,0,2547,105272,126904,58.8,96.1,22.2,0.9,56.6,20.5,91.7,2,60.8,23.7,100,0,61357,67459
256,06073009510,4813,61.7,25.5,8.1,3.6,0.8,1.2,6.7,17.9,12.5,77.7,7.1,99.2,FALSE,0,1312,57759,76176,24.3,99.5,8.7,0,23.3,6.2,99.1,0,25.3,11.3,100,0,60781,52500
257,06073009511,3852,56.5,21.7,12.8,4,1.1,1,5.8,18.8,18.8,72.7,12.1,99.7,FALSE,0,955,69087,80990,33.2,97.4,15.3,0.3,34.6,9.2,97.8,0.7,31.6,21.7,96.9,0,58171,60842
258,06073009602,3946,66.7,19.9,2.6,8.4,0.7,0.5,6,15,4.5,81,5.1,28.5,FALSE,0,1637,153575,167607,58.7,97.7,22.1,1,59.7,27.1,95.7,1.7,57.7,17,99.8,0.2,85912,92344
259,06073009603,6293,46.2,26.9,11.2,14,0.8,0.8,11.2,15.8,14.6,60.2,7.9,71.4,FALSE,0,3302,70571,80637,41.7,91.9,14.8,5.2,45.6,19.3,92.4,2.7,38.3,10.9,91.5,7.4,53229,46125
260,06073009604,3553,60.3,22.1,6.4,9.2,0.3,1.5,6.8,15.5,8.6,75,6,45.4,FALSE,0,1387,90282,125930,47.5,92.4,14.4,1.5,53.6,15.2,97.7,1.6,42.3,13.6,87.8,1.4,65646,61373
261,06073009703,3590,70.3,19.3,2.4,5,0.6,0.7,5.7,15.3,4.5,85.2,2.6,20.6,FALSE,0,1277,132094,146632,53.5,97.1,19.8,0.9,59.4,25.5,96.2,1.1,48.3,14.8,97.8,0.7,80179,86125
262,06073009704,6152,67.9,16.1,4.8,7.5,0.6,0.4,4.5,14.3,7.2,81.3,3,27.5,FALSE,0,2747,114712,140862,61.6,95.3,24.9,3.1,59.8,26,93.1,4.4,64.4,23.3,98.7,1.3,59732,83111
263,06073009705,3847,66.8,17.7,5,6.9,0.5,0.7,5.3,14.9,7.3,80.5,4.6,25.7,FALSE,0,1394,136742,192853,61.6,98.6,23.1,0.8,61.9,21.4,98.5,0.8,61.3,24.9,98.7,0.7,64018,76106
264,06073009706,7520,73.3,14.8,2.7,6.1,0.3,0.4,3.6,13.5,4.3,86.2,3.1,18.2,FALSE,0,2641,138617,196932,68.4,98.1,25.9,0,64.4,25.1,96.3,0.1,72.5,26.7,100,0,73488,75919
265,06073009801,5164,68.8,17.2,4.2,6.4,0.3,0.4,4.1,15.7,5.8,83.7,3.9,39,FALSE,0,2112,130543,147213,59.3,98.8,19.7,0.9,60.1,14.9,99,1,58.2,26.2,98.5,0.9,83744,90083
