GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US06073008367,Census Tract 83.67; San Diego County; California,1191,158,0.7,1.2,3.7,5.3,5.9,4.7,14.9,12,6,5.9,8.5,6.7,0.6,0.9,15.2,9.4,13.4,8.5,31.1,8.4,120742,32485,151995,22913,40.6,(X),(X),(X),(X),(X),1038,178,0.8,1.4,4.2,6.2,6.7,5.5,16.3,13.7,6.9,6.6,9.7,7.7,0.7,1.1,11.1,7,11,8,32.6,9.8,115769,48281,149716,26867,(X),(X),45.8,(X),(X),(X),894,177,0.9,1.6,4.9,7.3,6.6,6.2,17.7,15.9,5.4,5.5,11.3,8.8,0.8,1.3,6.2,6.1,11.2,8.7,35.1,10.5,117614,87794,N,N,(X),(X),(X),(X),(X),(X),153,98,0,23.9,0,23.9,0,23.9,5.9,10.7,0,23.9,0,23.9,0,23.9,43.1,40,30.1,38.7,20.9,23.7,170082,107761,167455,43333,(X),(X),(X),(X),5.9,(X)
1400000US06073008368,Census Tract 83.68; San Diego County; California,1937,147,0.7,1.2,0,2.2,5,3.5,2.3,2.4,1.7,1.6,3.9,2.6,4.4,3.2,12.5,4.1,17.1,5.4,52.3,7.5,211830,25620,251513,24241,33.6,(X),(X),(X),(X),(X),1765,154,0.7,1.2,0,2.4,4,3.8,2.5,2.7,1.9,1.8,2,2,3.7,3.2,13.2,4.3,19,6.3,52.9,8.2,212455,27867,256435,27550,(X),(X),32.7,(X),(X),(X),1616,149,0.8,1.3,0,2.6,4.3,4.2,2.8,2.9,1.2,1.4,2.2,2.2,4,3.4,9.9,4.3,18.6,6.2,56.2,9,214949,53092,N,N,(X),(X),(X),(X),(X),(X),172,75,0.6,5.8,0,21.7,15.7,22.9,0,21.7,0,21.7,23.3,19,11.6,17.1,5.8,9.1,8.7,14.6,34.3,19.1,-,**,157021,55274,(X),(X),(X),(X),43,(X)
1400000US06073008369,Census Tract 83.69; San Diego County; California,1969,491,3.5,3.6,1.5,2.6,2.5,3,1.7,2.1,4.8,3.1,7.5,5.5,8,4.3,15.1,6.9,16.6,11.7,38.9,17.7,168393,45156,179281,32940,20.7,(X),(X),(X),(X),(X),1226,500,2.5,2.9,0,3.4,0,3.4,1.9,3.2,5.6,4.7,12.1,8.3,5.5,5.1,5.8,5.2,17.9,17.1,48.7,24.1,174883,164617,200303,36183,(X),(X),23.4,(X),(X),(X),997,491,0.9,1.8,0,4.2,0,4.2,2.3,4.1,4.8,4.9,7.9,9.1,1.2,2,4.1,4.9,18.9,20.8,59.9,26.4,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),743,165,5,7.8,4,6.1,6.6,7.7,1.5,2.4,3.4,4.1,4.3,4,12.1,7.7,26,13.2,14.5,10.5,22.6,13.1,117559,20450,140868,40821,(X),(X),(X),(X),16.2,(X)
1400000US06073008370,Census Tract 83.70; San Diego County; California,1626,169,2.3,2,0.9,1.4,1.9,2,2.6,2.1,4.2,3.1,2.6,2.3,9.3,5.6,23.7,8.6,15.7,6.3,36.8,8.3,156184,23703,188876,21587,26,(X),(X),(X),(X),(X),1074,186,1.9,2.3,1.3,2.1,0,3.9,0,3.9,5,4.1,2.2,2.6,8.7,7.1,21.8,11.1,14.2,7.1,44.9,10.8,186500,37903,212471,28452,(X),(X),20.1,(X),(X),(X),833,187,0.8,1.4,0,5,0,5,0,5,3,3.5,2.9,3.3,2.3,2.6,23.5,12.3,14.9,8.4,52.6,12.8,218542,55949,N,N,(X),(X),(X),(X),(X),(X),552,133,3.1,4.3,0,7.4,5.6,5.7,7.6,5.9,2.5,3.9,3.3,4.4,10.7,10.6,27.5,11.8,18.7,12.7,21,10.8,126250,15614,142968,24910,(X),(X),(X),(X),37.3,(X)
1400000US06073008371,Census Tract 83.71; San Diego County; California,1542,248,0.6,1,0,2.7,0,2.7,1.9,2.1,2.2,2.8,15,12.4,5.1,3.5,23.2,12.3,11.2,7,40.9,11.1,159405,49619,210440,41516,30.2,(X),(X),(X),(X),(X),1040,243,0.9,1.6,0,4,0,4,3.4,4.3,3.3,4.2,12.8,14.3,6.8,5.1,19.4,14.4,10.2,7.5,43.3,13,182500,79819,234749,60392,(X),(X),26.5,(X),(X),(X),798,136,0,5.2,0,5.2,0,5.2,1.4,2.4,4.3,5.4,3.8,4.1,7.4,5.9,14.7,10.8,13.3,9,55.3,12,244593,49476,N,N,(X),(X),(X),(X),(X),(X),502,199,0,8.1,0,8.1,0,8.1,3.6,5.3,0,8.1,19.5,22.6,1.4,2.7,31.1,23.2,8.6,11.3,35.9,18.3,147586,75717,154098,32587,(X),(X),(X),(X),37.8,(X)
1400000US06073008372,Census Tract 83.72; San Diego County; California,1351,197,7,6.1,1.1,1.6,1.4,2.3,2.6,3.4,1,1.6,5.2,6.3,9,11.4,5.2,4.5,9.1,7.5,58.5,11.9,225481,76562,289220,51861,26.5,(X),(X),(X),(X),(X),1092,159,5.4,5.7,1.4,1.9,0,3.8,0,3.8,1.2,1.9,6.4,7.4,1.6,3,5.2,4.9,8.3,6.9,70.4,11.9,"250,000+",***,330953,54583,(X),(X),21.7,(X),(X),(X),972,111,2,2.9,1.5,2.1,0,4.3,0,4.3,1.3,2.1,2,3.3,1.9,3.3,4.3,5.5,7.9,7.4,79.1,10.8,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),259,192,13.9,21.9,0,15.1,7.3,13.4,13.5,19.8,0,15.1,0,15.1,39.8,45.5,6.6,10.2,12.4,21.1,6.6,11.8,75959,40547,111580,82538,(X),(X),(X),(X),46.7,(X)
1400000US06073008373,Census Tract 83.73; San Diego County; California,1299,137,6.6,5.3,0,3.2,0.8,1.6,0,3.2,0,3.2,2.5,3.9,10.5,7,7.1,7.3,18.2,10.1,54.2,12.7,219271,56389,235414,36814,41,(X),(X),(X),(X),(X),979,191,4.1,4.6,0,4.2,1,2.1,0,4.2,0,4.2,3.4,5.1,9.3,7.5,5.2,7.3,20.9,12.4,56.1,13.6,227644,58221,251594,43667,(X),(X),46.7,(X),(X),(X),877,172,1.8,2.8,0,4.7,1.1,2.4,0,4.7,0,4.7,3.8,5.6,10.4,8.5,5.8,8.1,15.7,10.6,61.3,13.8,231076,44713,N,N,(X),(X),(X),(X),(X),(X),320,151,14.4,18.2,0,12.4,0,12.4,0,12.4,0,12.4,0,12.4,14.4,18.2,12.8,20.8,10,11.9,48.4,29.7,178214,167791,185914,64520,(X),(X),(X),(X),23.8,(X)
1400000US06073008374,Census Tract 83.74; San Diego County; California,1185,129,0,3.5,0,3.5,0,3.5,0,3.5,1,1.6,1.6,2.2,4.6,4.8,8.5,5.3,4.6,4.5,79.7,8.7,"250,000+",***,380410,44422,39.7,(X),(X),(X),(X),(X),1117,132,0,3.7,0,3.7,0,3.7,0,3.7,1.1,1.6,1.7,2.3,4.8,5.1,5.6,4.3,4.9,4.7,81.9,9,"250,000+",***,386415,46494,(X),(X),37.6,(X),(X),(X),999,147,0,4.2,0,4.2,0,4.2,0,4.2,1.2,1.8,1.3,2.4,5.4,5.8,3.2,3,3.6,4.6,85.3,8.5,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),68,45,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,0,41.1,57.4,35.2,0,41.1,42.6,35.2,145714,126501,281772,157951,(X),(X),(X),(X),75,(X)
1400000US06073008375,Census Tract 83.75; San Diego County; California,2179,250,15.3,8.6,5.3,4.5,3.5,2.9,1,1.6,3.4,3.4,4.7,4,8.8,6.7,14.2,7.4,19.4,11.2,24.4,10.4,121607,47140,130382,24796,34.8,(X),(X),(X),(X),(X),897,294,13.6,13,2.9,6.2,0,4.6,0,4.6,4.7,7.4,4.6,4.7,0,4.6,19.4,15.8,9.8,8.4,45,18.7,185250,81717,169382,37622,(X),(X),38.6,(X),(X),(X),707,287,4,6.3,0,5.8,0,5.8,0,5.8,5.9,9.4,5.8,6.1,0,5.8,21.4,18.8,9.3,8.8,53.6,21.3,216458,79061,N,N,(X),(X),(X),(X),(X),(X),1282,201,16.5,10.8,9,7.6,6,4.9,1.6,2.7,2.6,3.1,4.8,5.4,12.9,10.5,10.5,6.8,26.1,16.9,10,8.4,91159,48210,101717,26282,(X),(X),(X),(X),32.1,(X)
1400000US06073008376,Census Tract 83.76; San Diego County; California,2833,262,7.3,4.8,0,1.5,0.9,1.1,2.3,3.1,1.5,1.8,11.4,6.8,18.6,9.5,17.6,8.5,20,8.9,20.3,6.6,120563,27284,141836,17207,25.9,(X),(X),(X),(X),(X),1096,325,0,3.8,0,3.8,1.1,1.8,0,3.8,1.8,3,15.9,14.4,21,15.4,13.4,9,20.3,12.6,26.6,14.3,138167,43301,170901,40510,(X),(X),26.2,(X),(X),(X),796,254,0,5.2,0,5.2,1.5,2.5,0,5.2,2.5,4.2,4.9,5.7,17.6,17.1,15.8,11.4,23.6,15.1,34,18.4,150984,33464,N,N,(X),(X),(X),(X),(X),(X),1737,332,11.9,7.9,0,2.4,0.8,1.4,3.7,5,1.3,2.1,14,11.2,11.7,9.1,22.9,11.6,17.3,10.7,16.3,7.4,114125,32769,121444,16471,(X),(X),(X),(X),25.8,(X)
1400000US06073008377,Census Tract 83.77; San Diego County; California,970,150,16.9,9.5,3.8,4.2,6.2,6.2,8.9,5.8,5.1,4.4,7,4.2,16.3,7.5,23.2,11.6,4.5,4.1,8.1,6.3,79444,32635,91464,24779,23.7,(X),(X),(X),(X),(X),266,76,0,14.7,0,14.7,0,14.7,12.8,13,9,12.1,0,14.7,17.7,14.6,37.6,20.1,6.4,9.5,16.5,14,120769,35017,127202,30595,(X),(X),21.1,(X),(X),(X),189,74,0,20,0,20,0,20,0,20,12.7,15.5,0,20,24.9,19.7,30.2,19.5,9,13.2,23.3,21,117431,43060,N,N,(X),(X),(X),(X),(X),(X),704,143,23.3,11.8,5.3,5.7,8.5,8.5,7.4,5.3,3.6,4,9.7,5.9,15.8,9.8,17.8,12.8,3.8,4.5,5,6,54688,35165,77960,29024,(X),(X),(X),(X),24.7,(X)
1400000US06073008378,Census Tract 83.78; San Diego County; California,376,64,11.7,10.8,7.2,9.6,3.5,3.3,8.2,12.4,10.6,11.5,9.3,7.7,6.9,5.5,11.4,9.6,30.1,13.7,1.1,1.9,73750,44146,87443,20198,34.6,(X),(X),(X),(X),(X),162,60,0,22.8,0,22.8,0,22.8,0,22.8,8.6,13,0,22.8,16,13.4,10.5,13.7,64.8,19.7,0,22.8,157000,11670,139165,19882,(X),(X),42.6,(X),(X),(X),115,56,0,30,0,30,0,30,0,30,12.2,17.9,0,30,12.2,12.7,3.5,7.8,72.2,22.7,0,30,157125,9463,N,N,(X),(X),(X),(X),(X),(X),214,68,20.6,19.3,12.6,16.6,6.1,5.6,14.5,21.3,12.1,18.1,16.4,13.4,0,17.9,12.1,12.5,3.7,4.8,1.9,3.4,31855,18769,48290,18653,(X),(X),(X),(X),28.5,(X)
1400000US06073008379,Census Tract 83.79; San Diego County; California,1877,268,14.7,6.5,4.7,5.2,8.3,6.3,4.8,6,6.9,6,20.7,11.5,5.6,4.3,11.3,4.1,13.1,6.1,9.8,5.7,65625,22326,95358,20124,43.8,(X),(X),(X),(X),(X),730,185,2.7,4.7,8.4,11.7,2.5,3.8,0,5.7,3.7,5,10,8.2,2.9,4,24.2,8.6,26.6,12.5,19,11.7,146768,40435,157819,40813,(X),(X),46.3,(X),(X),(X),615,144,3.3,5.5,0,6.7,0,6.7,0,6.7,4.4,5.7,11.9,9.5,3.4,4.6,28.8,9.7,31.5,15.2,16.7,11.9,148688,30900,N,N,(X),(X),(X),(X),(X),(X),1147,267,22.2,12,2.4,2.8,12,9.6,7.9,9.8,8.9,8.9,27.6,16.7,7.3,6.9,3.1,3.4,4.5,4.9,3.9,4.9,48090,23147,55605,15292,(X),(X),(X),(X),42.3,(X)
1400000US06073008380,Census Tract 83.80; San Diego County; California,2743,322,4,4.3,0,1.5,1.8,1.5,11.2,9.5,2.8,2.4,16.3,6.4,17.3,7.6,14.3,5.1,16.2,8.2,16,5.4,92583,15252,121363,17726,35.8,(X),(X),(X),(X),(X),1659,352,3.1,4.1,0,2.5,3,2.6,12.6,14.4,3.6,3.4,18.4,9.3,7.3,5.8,13.8,6.6,19,12,19.2,7.9,110078,49318,129438,23909,(X),(X),42.4,(X),(X),(X),1020,219,1.4,2.2,0,4.1,3.2,4.3,3.4,5.4,4.5,5.1,15.5,12,3.3,4.7,17.7,8.7,19.6,11.2,31.3,11.9,152817,35468,N,N,(X),(X),(X),(X),(X),(X),1084,227,5.4,8.7,0,3.8,0,3.8,9.1,11.2,1.8,2.7,16.5,8.7,32.9,15.5,14.5,8.9,12.8,9.3,7,6.6,87610,7402,100556,20639,(X),(X),(X),(X),25.7,(X)
1400000US06073008381,Census Tract 83.81; San Diego County; California,1056,225,3.5,3.9,1,1.6,0,3.9,1.4,2.3,0,3.9,5,3.6,7.8,3.8,12.8,7.2,17,8.2,51.4,12.7,202833,31226,220404,34626,23,(X),(X),(X),(X),(X),833,234,4.4,5,1.3,2.1,0,5,0,5,0,5,3.5,3.9,8.5,4.8,30.5,19.1,19.7,10.2,32.1,13.9,153589,39930,172226,22275,(X),(X),23.6,(X),(X),(X),604,98,6.1,6.7,1.8,2.7,0,6.8,0,6.8,0,6.8,2.2,2.8,5.3,4.9,13.9,7.9,27.2,12.1,43.5,13.7,195500,26461,N,N,(X),(X),(X),(X),(X),(X),223,84,0,17.3,0,17.3,0,17.3,6.7,10.8,0,17.3,10.8,12.9,14.3,12.7,18.8,18.6,7.2,6.9,42.2,23.5,149875,102721,260088,133856,(X),(X),(X),(X),20.6,(X)
1400000US06073008501,Census Tract 85.01; San Diego County; California,2132,218,1.5,1.8,2.9,2.4,1.4,1.6,3.9,4.5,2,1.8,18.8,8.1,9.8,5.4,16.5,5.5,12.6,6.4,30.7,6.9,131944,25533,151017,15038,31.7,(X),(X),(X),(X),(X),1486,237,2.6,3,1.3,1.8,1.1,1.8,5.7,6.3,0.9,1.5,14.6,11.3,12.1,7.1,14.7,6.3,14.5,8.3,32.6,8.9,144722,31198,156623,21677,(X),(X),33.4,(X),(X),(X),1132,233,1.3,2.1,0,3.7,0,3.7,0,3.7,1.1,2,17.2,14.2,11.8,8.5,14.7,7.2,13,8.6,40.8,10.7,166556,32962,N,N,(X),(X),(X),(X),(X),(X),646,174,2.6,4.2,6.7,7.3,2,3.2,0,6.4,4.6,4.9,28.2,13.1,6,6.6,15.3,10.1,8.4,9,26.2,14.4,99861,52048,133853,31132,(X),(X),(X),(X),27.9,(X)
1400000US06073008502,Census Tract 85.02; San Diego County; California,2507,322,4.3,3.3,4,3.6,3.7,2.9,3.5,3.1,6.4,5.1,17.4,7.1,10.5,5.9,17.1,6.4,11.7,4.5,21.5,10.1,100387,22802,130450,21202,35.6,(X),(X),(X),(X),(X),1659,322,0,2.5,2.4,2.9,5.3,4.6,3.6,4.2,8.3,7.6,13.5,8,7.4,4.6,21.6,8.1,11.3,5.3,26.6,14.1,118207,29199,148962,28222,(X),(X),30.7,(X),(X),(X),1164,339,0,3.6,0.8,1.4,5.1,5.2,2.4,3.9,2.1,3.6,9.3,6.5,4.9,4.3,23.5,10.5,14,7.2,38,17.7,172396,60639,N,N,(X),(X),(X),(X),(X),(X),848,192,12.6,9.5,7.2,8.2,4,4.8,3.3,5.1,15.9,12.7,21.5,15,8.6,8.5,4.7,5.8,10.8,7.2,11.3,10.1,65813,25541,86004,26504,(X),(X),(X),(X),34,(X)
1400000US06073008503,Census Tract 85.03; San Diego County; California,3155,409,6.8,4.5,0.6,1,5,3.9,4,2.7,2.2,1.9,12.8,6.1,11.3,7.7,19.8,5.3,8.3,4,29.1,7.9,118141,15467,152041,20676,35.4,(X),(X),(X),(X),(X),1845,420,2.8,2.3,1.1,1.8,0.8,1.1,0.9,1.4,2.3,2.6,22.4,13.5,4.1,3.3,16,5.5,15.6,10.9,34.1,12.2,149491,45407,175417,27715,(X),(X),37.1,(X),(X),(X),1183,288,3.6,3.4,0,3.5,0.5,1,1.4,2.2,1.7,2.7,13.9,12.3,0,3.5,17.2,6.8,11.5,7.3,50.4,13.8,207989,43924,N,N,(X),(X),(X),(X),(X),(X),1310,216,12.3,9.6,0,3.2,11.1,9,8.3,6,2.1,2.5,11.5,7.5,12.7,8.2,21.9,8.8,6.9,6.4,13.1,8.1,85698,21464,95851,19736,(X),(X),(X),(X),32,(X)
1400000US06073008504,Census Tract 85.04; San Diego County; California,2276,240,1.9,1.8,1.4,1.8,6.4,5.4,4.1,3.1,3.3,2.6,14.3,6.1,6.4,3.5,22.4,8,25.3,9.3,14.6,5.9,131429,27167,127269,12452,32.1,(X),(X),(X),(X),(X),1539,269,0.9,1.6,0.9,1.8,4.4,5.7,3.1,4.1,4.2,4.2,13.5,8.5,4.9,3.8,21.7,10.5,28.5,12.8,17.9,7.5,141907,14561,136231,12807,(X),(X),28.6,(X),(X),(X),1319,271,0,3.2,0,3.2,3.9,6.4,3.6,4.7,1.2,1.9,14.4,10,5.7,4.4,19.6,10.6,30.7,14.1,20.9,8.9,150373,13772,N,N,(X),(X),(X),(X),(X),(X),737,166,4.1,4.6,2.4,4.1,10.4,12.1,6.1,8,7.9,7,16.1,9,7.9,6,18.9,11.2,18.6,10.5,7.6,8.9,88042,42058,103161,24686,(X),(X),(X),(X),33.8,(X)
